Date,FIPS,Recip_County,Recip_State,Series_Complete_Yes,Series_Complete_Pop_Pct,pop
9/14/2022,01109,Pike County,AL,"14,243",43,33123.25581
9/14/2022,48149,Fayette County,TX,"12,460",49.2,25325.20325
9/14/2022,35013,Dona Ana County,NM,"169,461",77.7,218096.5251
9/14/2022,47005,Benton County,TN,"7,332",45.4,16149.77974
9/14/2022,17119,Madison County,IL,"166,498",63.3,263030.0158
9/14/2022,40089,McCurtain County,OK,"12,171",37.1,32805.92992
9/14/2022,41017,Deschutes County,OR,"139,285",70.5,197567.3759
9/14/2022,37027,Caldwell County,NC,"40,037",48.7,82211.49897
9/14/2022,48195,Hansford County,TX,"2,303",42.7,5393.442623
9/14/2022,36041,Hamilton County,NY,"3,721",84.3,4413.997628
9/14/2022,08017,Cheyenne County,CO,624,34.1,1829.912023
9/14/2022,48487,Wilbarger County,TX,"6,710",52.5,12780.95238
9/14/2022,48283,La Salle County,TX,"4,756",63.2,7525.316456
9/14/2022,46121,Todd County,SD,"7,839",77,10180.51948
9/14/2022,31055,Douglas County,NE,"390,944",68.4,571555.5556
9/14/2022,17079,Jasper County,IL,"4,077",42.4,9615.566038
9/14/2022,21209,Scott County,KY,"32,352",56.8,56957.74648
9/14/2022,01067,Henry County,AL,"7,942",46.2,17190.47619
9/14/2022,19141,O'Brien County,IA,"7,017",51,13758.82353
9/14/2022,18021,Clay County,IN,"15,358",58.6,26208.19113
9/14/2022,42011,Berks County,PA,"263,423",62.5,421476.8
9/14/2022,18027,Daviess County,IN,"11,328",34,33317.64706
9/14/2022,27031,Cook County,MN,"4,476",81.9,5465.201465
9/14/2022,35017,Grant County,NM,"19,138",70.9,26992.94781
9/14/2022,48313,Madison County,TX,"5,950",41.7,14268.58513
9/14/2022,54063,Monroe County,WV,"6,575",49.5,13282.82828
9/14/2022,40029,Coal County,OK,"2,307",42,5492.857143
9/14/2022,42043,Dauphin County,PA,"182,734",65.7,278133.9422
9/14/2022,38083,Sheridan County,ND,486,37,1313.513514
9/14/2022,54067,Nicholas County,WV,"13,120",53.6,23543.93305
9/14/2022,36061,New York County,NY,"1,434,809",88.1,43886.36364
9/14/2022,45011,Barnwell County,SC,"11,982",57.4,20314.3508
9/14/2022,48221,Hood County,TX,"29,549",47.9,26222.59696
9/14/2022,35031,McKinley County,NM,"67,439",94.5,26157.82665
9/14/2022,08103,Rio Blanco County,CO,"2,485",39.3,20457.00246
9/14/2022,13257,Stephens County,GA,"10,930",42.2,229326.6932
9/14/2022,19121,Madison County,IA,"8,944",54.7,110351.8124
9/14/2022,55069,Lincoln County,WI,"15,518",56.2,26920.5298
9/14/2022,29215,Texas County,MO,"8,449",33.3,369148.9637
9/14/2022,09003,Hartford County,CT,"691,227",77.5,27585.96491
9/14/2022,17043,DuPage County,IL,"721,471",78.2,23420.42755
9/14/2022,12019,Clay County,FL,"120,988",55.2,636259.5041
9/14/2022,72017,Barceloneta Municipio,PR,"18,579",78.3,45251.35624
9/14/2022,26153,Schoolcraft County,MI,"4,578",56.6,165335.4633
9/14/2022,27015,Brown County,MN,"16,691",66.7,6488.069414
9/14/2022,20145,Pawnee County,KS,"3,564",55.6,39001.87617
9/14/2022,13263,Talbot County,GA,"3,052",49.3,26171.62471
9/14/2022,21013,Bell County,KY,"12,132",46.6,48946.52406
9/14/2022,19197,Wright County,IA,"7,340",58.4,1252.307692
9/14/2022,48391,Refugio County,TX,"3,719",53.5,21710.58824
9/14/2022,05085,Lonoke County,AR,"36,004",49.1,26592.23301
9/14/2022,20033,Comanche County,KS,790,46.5,19723.33333
9/14/2022,06057,Nevada County,CA,"65,038",65.2,24701.80723
9/14/2022,06059,Orange County,CA,"2,330,914",73.4,766680.6342
9/14/2022,01117,Shelby County,AL,"80,811",37.1,22601.14504
9/14/2022,34007,Camden County,NJ,"358,947",70.9,20473.18612
9/14/2022,45005,Allendale County,SC,"5,226",60.2,571589.8161
9/14/2022,30109,Wibaux County,MT,280,28.9,15818.73112
9/14/2022,13255,Spalding County,GA,"27,483",41.2,43597.24951
9/14/2022,08053,Hinsdale County,CO,534,65.1,1611395.566
9/14/2022,47141,Putnam County,TN,"41,684",51.9,12880.85106
9/14/2022,48447,Throckmorton County,TX,614,40.9,5874.365482
9/14/2022,55079,Milwaukee County,WI,"624,563",66,44201.78571
9/14/2022,20123,Mitchell County,KS,"3,227",54,30964.02878
9/14/2022,40101,Muskogee County,OK,"36,040",53,15118.71227
9/14/2022,17067,Hancock County,IL,"8,840",49.9,354084.6024
9/14/2022,13021,Bibb County,GA,"72,002",47,21960.95076
9/14/2022,20105,Lincoln County,KS,"1,318",44.5,16025.72899
9/14/2022,47009,Blount County,TN,"70,904",53.3,5634.782609
9/14/2022,29027,Callaway County,MO,"21,845",48.8,54437.73585
9/14/2022,42029,Chester County,PA,"427,977",81.5,151054.4747
9/14/2022,19161,Sac County,IA,"5,204",53.5,81822.73603
9/14/2022,31023,Butler County,NE,"4,186",52.2,9565.149137
9/14/2022,28163,Yazoo County,MS,"15,035",50.6,121874.3268
9/14/2022,36119,Westchester County,NY,"814,916",84.2,385071.8157
9/14/2022,47187,Williamson County,TN,"160,952",67.5,70472.66314
9/14/2022,39143,Sandusky County,OH,"31,244",53.4,18410.81081
9/14/2022,34033,Salem County,NJ,"35,554",57,11795.01385
9/14/2022,56017,Hot Springs County,WY,"2,230",50.5,7366.972477
9/14/2022,02050,Bethel Census Area,AK,"12,556",68.3,228786.1538
9/14/2022,48433,Stonewall County,TX,540,40,3236.619718
9/14/2022,30097,Sweet Grass County,MT,"1,544",41.3,129187.1429
9/14/2022,48461,Upton County,TX,"1,461",40,46424.10714
9/14/2022,12049,Hardee County,FL,"11,759",43.7,45927.31278
9/14/2022,23029,Washington County,ME,"23,345",74.4,7822.683706
9/14/2022,16069,Nez Perce County,ID,"23,399",57.9,32210.85595
9/14/2022,18059,Hancock County,IN,"54,657",69.9,10067.53813
9/14/2022,13271,Telfair County,GA,"4,732",29.8,328842.6966
9/14/2022,23015,Lincoln County,ME,"28,733",83,17020.66116
9/14/2022,18123,Perry County,IN,"11,245",58.7,85259.3985
9/14/2022,46127,Union County,SD,"8,568",53.8,10923.64532
9/14/2022,13267,Tattnall County,GA,"8,478",33.5,50114.62451
9/14/2022,40113,Osage County,OK,"16,777",35.7,39777.99607
9/14/2022,38021,Dickey County,ND,"2,628",53.9,15642.85714
9/14/2022,13011,Banks County,GA,"5,975",31.1,6775.720165
9/14/2022,23021,Piscataquis County,ME,"10,605",63.2,19263.61656
9/14/2022,13247,Rockdale County,GA,"46,994",51.7,12505.39568
9/14/2022,09011,New London County,CT,"213,987",80.7,51565.31049
9/14/2022,18007,Benton County,IN,"3,805",43.5,8116.049383
9/14/2022,17055,Franklin County,IL,"17,562",45.7,89161.76471
9/14/2022,47101,Lewis County,TN,"4,438",36.2,76576.10475
9/14/2022,46089,McPherson County,SD,972,40.9,45535.30752
9/14/2022,02130,Ketchikan Gateway Borough,AK,"9,286",66.8,17586.24709
9/14/2022,36071,Orange County,NY,"256,197",66.6,5230.188679
9/14/2022,32007,Elko County,NV,"23,069",43.7,20426.4432
9/14/2022,42027,Centre County,PA,"99,684",61.4,126655.1724
9/14/2022,18047,Franklin County,IN,"8,973",39.4,390406.8966
9/14/2022,27125,Red Lake County,MN,"2,320",57.2,209198.5401
9/14/2022,05075,Lawrence County,AR,"7,845",47.8,21942.52874
9/14/2022,01133,Winston County,AL,"5,281",22.3,40069.16427
9/14/2022,08001,Adams County,CO,"361,346",69.8,2476.45951
9/14/2022,26079,Kalkaska County,MI,"8,485",47,19889.84881
9/14/2022,21049,Clark County,KY,"20,194",55.7,15518.24818
9/14/2022,72093,Maricao Municipio,PR,"3,951",72.8,22423.85787
9/14/2022,12105,Polk County,FL,"424,578",58.6,8197.183099
9/14/2022,37165,Scotland County,NC,"17,387",49.9,69632.40418
9/14/2022,13071,Colquitt County,GA,"18,594",40.8,86144.81707
9/14/2022,46103,Pennington County,SD,"69,109",60.7,66935.54688
9/14/2022,19015,Boone County,IA,"17,184",65.5,432754.8291
9/14/2022,13039,Camden County,GA,"31,214",57.1,4182.051282
9/14/2022,18113,Noble County,IN,"18,991",39.8,20635.41667
9/14/2022,30083,Richland County,MT,"4,398",40.7,187763.583
9/14/2022,18171,Warren County,IN,"3,906",47.3,28551.12652
9/14/2022,12015,Charlotte County,FL,"126,117",66.8,34657.84832
9/14/2022,48413,Schleicher County,TX,"1,166",41.7,113500
9/14/2022,19147,Palo Alto County,IA,"4,597",51.7,16184.78261
9/14/2022,39043,Erie County,OH,"44,676",60.2,40596.59091
9/14/2022,37083,Halifax County,NC,"27,772",55.5,6224.89083
9/14/2022,29510,St. Louis city,MO,"182,956",60.9,21759.52381
9/14/2022,72059,Guayanilla Municipio,PR,"14,806",84,20728.98799
9/14/2022,12041,Gilchrist County,FL,"6,925",37.3,17875
9/14/2022,13227,Pickens County,GA,"13,766",42.2,37196.01329
9/14/2022,47121,Meigs County,TN,"8,613",69.3,3780.763791
9/14/2022,02060,Bristol Bay Borough,AK,948,95,11145.20548
9/14/2022,34025,Monmouth County,NJ,"430,514",69.6,109911.5646
9/14/2022,17113,McLean County,IL,"111,388",64.9,9951.162791
9/14/2022,06095,Solano County,CA,"312,123",69.7,19635.11188
9/14/2022,39055,Geauga County,OH,"58,342",62.3,17319.7832
9/14/2022,13079,Crawford County,GA,"5,163",41.6,4348.268839
9/14/2022,21239,Woodford County,KY,"18,007",67.4,24575.60976
9/14/2022,39157,Tuscarawas County,OH,"41,697",45.3,1931.537598
9/14/2022,19009,Audubon County,IA,"3,259",59.3,67662.44057
9/14/2022,51171,Shenandoah County,VA,"21,864",50.1,3816.933638
9/14/2022,08079,Mineral County,CO,656,85.3,4626.740947
9/14/2022,48449,Titus County,TX,"13,026",39.8,14791.75258
9/14/2022,54085,Ritchie County,WV,"4,815",50.4,9920
9/14/2022,16045,Gem County,ID,"7,388",40.8,179238.3613
9/14/2022,28071,Lafayette County,MS,"30,161",55.8,11053.27869
9/14/2022,38009,Bottineau County,ND,"3,227",51.4,119646.3596
9/14/2022,35061,Valencia County,NM,"46,738",60.9,106971.374
9/14/2022,31019,Buffalo County,NE,"21,361",43,46368.65022
9/14/2022,21021,Boyle County,KY,"17,457",58.1,81737.76224
9/14/2022,21003,Allen County,KY,"8,588",40.3,1391.213389
9/14/2022,48491,Williamson County,TX,"411,365",69.7,26687.61221
9/14/2022,08055,Huerfano County,CO,"3,798",55.1,28916.37011
9/14/2022,54091,Taylor County,WV,"8,033",48.1,8207.936508
9/14/2022,08073,Lincoln County,CO,"2,107",37,39204.58891
9/14/2022,39007,Ashtabula County,OH,"52,514",54,61982.59188
9/14/2022,51161,Roanoke County,VA,"46,683",49.6,35987.60843
9/14/2022,47175,Van Buren County,TN,"3,480",59.3,20716.18625
9/14/2022,19101,Jefferson County,IA,"8,971",49,53549.05063
9/14/2022,19139,Muscatine County,IA,"26,339",61.7,25601.53257
9/14/2022,36105,Sullivan County,NY,"46,930",62.2,28828.03468
9/14/2022,28049,Hinds County,MS,"138,201",59.6,12143.07229
9/14/2022,28081,Lee County,MS,"38,042",44.5,18882.01161
9/14/2022,21063,Elliott County,KY,"2,726",36.3,129458.0645
9/14/2022,48205,Hartley County,TX,"2,656",47.6,7232.288037
9/14/2022,40115,Ottawa County,OK,"12,470",40.1,3176378.849
9/14/2022,28127,Simpson County,MS,"12,362",46.4,13470.13487
9/14/2022,35045,San Juan County,NM,"95,660",77.2,42733.46304
9/14/2022,28099,Neshoba County,MS,"12,539",43.1,53926.44135
9/14/2022,38091,Steele County,ND,898,47.5,445362.4842
9/14/2022,46047,Fall River County,SD,"4,272",63.6,162390.3559
9/14/2022,18139,Rush County,IN,"8,007",48.3,8342.618384
9/14/2022,28161,Yalobusha County,MS,"8,081",66.7,93719.2429
9/14/2022,55007,Bayfield County,WI,"12,597",83.8,872.0930233
9/14/2022,34029,Ocean County,NJ,"338,276",55.7,18468.80907
9/14/2022,37145,Person County,NC,"23,278",58.9,13177.17718
9/14/2022,13237,Putnam County,GA,"9,722",44,35822.51082
9/14/2022,40047,Garfield County,OK,"31,416",51.5,10245.20256
9/14/2022,05051,Garland County,AR,"46,888",47.2,1538.461538
9/14/2022,01055,Etowah County,AL,"42,855",41.9,18531.81818
9/14/2022,26147,St. Clair County,MI,"79,462",49.9,11129.87013
9/14/2022,27073,Lac qui Parle County,MN,"3,971",60,67563.7149
9/14/2022,21099,Hart County,KY,"6,915",36.3,86693.27731
9/14/2022,48485,Wichita County,TX,"68,950",52.1,31380.95238
9/14/2022,37107,Lenoir County,NC,"31,866",57,25668.25776
9/14/2022,51510,Alexandria city,VA,"103,935",65.2,28612.43144
9/14/2022,20055,Finney County,KS,"18,807",51.6,11585.04673
9/14/2022,13063,Clayton County,GA,"131,303",44.9,18132.21154
9/14/2022,29085,Hickory County,MO,"3,706",38.8,34391.50943
9/14/2022,55111,Sauk County,WI,"41,654",64.6,932299.8776
9/14/2022,37171,Surry County,NC,"38,500",53.6,9702.544031
9/14/2022,53037,Kittitas County,WA,"26,352",55,43476.52582
9/14/2022,06113,Yolo County,CA,"158,405",71.8,42055.76923
9/14/2022,19073,Greene County,IA,"5,269",59.3,63353.4202
9/14/2022,29043,Christian County,MO,"41,489",46.8,71416.43059
9/14/2022,53033,King County,WA,"1,869,343",83,13650.64695
9/14/2022,51145,Powhatan County,VA,"11,477",38.7,21531.53153
9/14/2022,29155,Pemiscot County,MO,"5,110",32.3,421131.7829
9/14/2022,48375,Potter County,TX,"54,572",46.5,157461.9205
9/14/2022,29145,Newton County,MO,"15,428",26.5,8120.071685
9/14/2022,40069,Johnston County,OK,"4,806",43.4,25346.55532
9/14/2022,29083,Henry County,MO,"10,252",47,292233.8983
9/14/2022,48353,Nolan County,TX,"6,117",41.6,55909.73872
